Name                                                                                                         Stmts   Miss  Cover
env/lib/python3.6/site-packages/django/contrib/contenttypes/admin.py                                            50     28    44%
env/lib/python3.6/site-packages/django/contrib/contenttypes/apps.py                                             14      0   100%
env/lib/python3.6/site-packages/django/contrib/contenttypes/checks.py                                           22      4    82%
env/lib/python3.6/site-packages/django/contrib/contenttypes/fields.py                                          341    276    19%
env/lib/python3.6/site-packages/django/contrib/contenttypes/forms.py                                            39     29    26%
env/lib/python3.6/site-packages/django/contrib/contenttypes/management/__init__.py                              78     36    54%
env/lib/python3.6/site-packages/django/contrib/contenttypes/migrations/0001_initial.py                           5      0   100%
env/lib/python3.6/site-packages/django/contrib/contenttypes/migrations/0002_remove_content_type_name.py         12      7    42%
env/lib/python3.6/site-packages/django/contrib/contenttypes/migrations/__init__.py                               0      0   100%
env/lib/python3.6/site-packages/django/contrib/contenttypes/models.py                                          102     53    48%
env/lib/python3.6/site-packages/django/contrib/contenttypes/views.py                                            50     43    14%
env/lib/python3.6/site-packages/django/contrib/messages/__init__.py                                              3      0   100%
env/lib/python3.6/site-packages/django/contrib/messages/api.py                                                  34     20    41%
env/lib/python3.6/site-packages/django/contrib/messages/apps.py                                                  5      0   100%
env/lib/python3.6/site-packages/django/contrib/messages/constants.py                                             7      0   100%
env/lib/python3.6/site-packages/django/contrib/messages/middleware.py                                           12      6    50%
env/lib/python3.6/site-packages/django/contrib/messages/storage/__init__.py                                      4      1    75%
env/lib/python3.6/site-packages/django/contrib/postgres/__init__.py                                              1      0   100%
env/lib/python3.6/site-packages/django/contrib/postgres/fields/__init__.py                                       5      4    20%
env/lib/python3.6/site-packages/django/contrib/postgres/fields/array.py                                        191    188     2%
env/lib/python3.6/site-packages/django/contrib/postgres/forms/__init__.py                                        4      0   100%
env/lib/python3.6/site-packages/django/contrib/postgres/forms/array.py                                         148    117    21%
env/lib/python3.6/site-packages/django/contrib/postgres/forms/hstore.py                                         30     19    37%
env/lib/python3.6/site-packages/django/contrib/postgres/forms/jsonb.py                                          41     26    37%
env/lib/python3.6/site-packages/django/contrib/postgres/forms/ranges.py                                         65     63     3%
env/lib/python3.6/site-packages/django/contrib/postgres/lookups.py                                              49     11    78%
env/lib/python3.6/site-packages/django/contrib/postgres/search.py                                              164    105    36%
env/lib/python3.6/site-packages/django/contrib/postgres/utils.py                                                 8      4    50%
env/lib/python3.6/site-packages/django/contrib/postgres/validators.py                                           35     15    57%
env/lib/python3.6/site-packages/django/contrib/sessions/__init__.py                                              1      0   100%
env/lib/python3.6/site-packages/django/contrib/sessions/apps.py                                                  5      0   100%
env/lib/python3.6/site-packages/django/contrib/sessions/backends/__init__.py                                     0      0   100%
env/lib/python3.6/site-packages/django/contrib/sessions/backends/base.py                                       186    125    33%
env/lib/python3.6/site-packages/django/contrib/sessions/base_session.py                                         28     11    61%
env/lib/python3.6/site-packages/django/contrib/sessions/exceptions.py                                            5      0   100%
env/lib/python3.6/site-packages/django/contrib/sessions/middleware.py                                           41     29    29%
env/lib/python3.6/site-packages/django/contrib/sessions/migrations/0001_initial.py                               5      0   100%
env/lib/python3.6/site-packages/django/contrib/sessions/migrations/__init__.py                                   0      0   100%
env/lib/python3.6/site-packages/django/contrib/sessions/models.py                                               10      2    80%
env/lib/python3.6/site-packages/django/contrib/sites/__init__.py                                                 1      0   100%
env/lib/python3.6/site-packages/django/contrib/sites/shortcuts.py                                                7      5    29%
env/lib/python3.6/site-packages/django/contrib/staticfiles/__init__.py                                           1      0   100%
env/lib/python3.6/site-packages/django/contrib/staticfiles/apps.py                                              10      0   100%
env/lib/python3.6/site-packages/django/contrib/staticfiles/checks.py                                            10      0   100%
env/lib/python3.6/site-packages/django/contrib/staticfiles/finders.py                                          167    100    40%
env/lib/python3.6/site-packages/django/contrib/staticfiles/templatetags/__init__.py                              0      0   100%
env/lib/python3.6/site-packages/django/contrib/staticfiles/templatetags/staticfiles.py                          11      4    64%
env/lib/python3.6/site-packages/django/contrib/staticfiles/utils.py                                             35     28    20%
env/lib/python3.6/site-packages/django/core/__init__.py                                                          0      0   100%
env/lib/python3.6/site-packages/django/core/cache/__init__.py                                                   59     20    66%
env/lib/python3.6/site-packages/django/core/cache/backends/__init__.py                                           0      0   100%
env/lib/python3.6/site-packages/django/core/cache/backends/base.py                                             120     69    42%
env/lib/python3.6/site-packages/django/core/cache/backends/db.py                                               164    138    16%
env/lib/python3.6/site-packages/django/core/cache/backends/locmem.py                                           101     74    27%
env/lib/python3.6/site-packages/django/core/cache/utils.py                                                       9      5    44%
env/lib/python3.6/site-packages/django/core/checks/__init__.py                                                  12      0   100%
env/lib/python3.6/site-packages/django/core/checks/caches.py                                                     8      1    88%
env/lib/python3.6/site-packages/django/core/checks/database.py                                                   7      4    43%
env/lib/python3.6/site-packages/django/core/checks/messages.py                                                  47     17    64%
env/lib/python3.6/site-packages/django/core/checks/model_checks.py                                              78     47    40%
env/lib/python3.6/site-packages/django/core/checks/registry.py                                                  52      4    92%
env/lib/python3.6/site-packages/django/core/checks/security/__init__.py                                          0      0   100%
env/lib/python3.6/site-packages/django/core/checks/security/base.py                                             55     25    55%
env/lib/python3.6/site-packages/django/core/checks/security/csrf.py                                             12      5    58%
env/lib/python3.6/site-packages/django/core/checks/security/sessions.py                                         36     20    44%
env/lib/python3.6/site-packages/django/core/checks/templates.py                                                 16      3    81%
env/lib/python3.6/site-packages/django/core/checks/translation.py                                                8      1    88%
env/lib/python3.6/site-packages/django/core/checks/urls.py                                                      54     14    74%
env/lib/python3.6/site-packages/django/core/exceptions.py                                                       89     47    47%
env/lib/python3.6/site-packages/django/core/files/__init__.py                                                    2      0   100%
env/lib/python3.6/site-packages/django/core/files/base.py                                                       99     64    35%
env/lib/python3.6/site-packages/django/core/files/images.py                                                     46     38    17%
env/lib/python3.6/site-packages/django/core/files/locks.py                                                      57     46    19%
env/lib/python3.6/site-packages/django/core/files/move.py                                                       42     35    17%
env/lib/python3.6/site-packages/django/core/files/storage.py                                                   184    117    36%
env/lib/python3.6/site-packages/django/core/files/temp.py                                                       33     26    21%
env/lib/python3.6/site-packages/django/core/files/uploadedfile.py                                               56     32    43%
env/lib/python3.6/site-packages/django/core/files/uploadhandler.py                                              71     39    45%
env/lib/python3.6/site-packages/django/core/files/utils.py                                                      37     17    54%
env/lib/python3.6/site-packages/django/core/handlers/__init__.py                                                 0      0   100%
env/lib/python3.6/site-packages/django/core/handlers/base.py                                                    98     75    23%
env/lib/python3.6/site-packages/django/core/handlers/exception.py                                               61     46    25%
env/lib/python3.6/site-packages/django/core/handlers/wsgi.py                                                   131     97    26%
env/lib/python3.6/site-packages/django/core/mail/__init__.py                                                    32     22    31%
env/lib/python3.6/site-packages/django/core/mail/message.py                                                    254    192    24%
env/lib/python3.6/site-packages/django/core/mail/utils.py                                                        9      4    56%
env/lib/python3.6/site-packages/django/core/management/__init__.py                                             179     90    50%
env/lib/python3.6/site-packages/django/core/management/base.py                                                 227     84    63%
env/lib/python3.6/site-packages/django/core/management/color.py                                                 29      2    93%
env/lib/python3.6/site-packages/django/core/management/commands/check.py                                        29      8    72%
env/lib/python3.6/site-packages/django/core/management/commands/createcachetable.py                             67     45    33%
env/lib/python3.6/site-packages/django/core/management/commands/flush.py                                        38      4    89%
env/lib/python3.6/site-packages/django/core/management/commands/migrate.py                                     203    121    40%
env/lib/python3.6/site-packages/django/core/management/commands/test.py                                         26      1    96%
env/lib/python3.6/site-packages/django/core/management/sql.py                                                   23      3    87%
env/lib/python3.6/site-packages/django/core/management/utils.py                                                 68     51    25%
env/lib/python3.6/site-packages/django/core/paginator.py                                                       108     68    37%
env/lib/python3.6/site-packages/django/core/serializers/__init__.py                                            103     25    76%
env/lib/python3.6/site-packages/django/core/serializers/base.py                                                174    100    43%
env/lib/python3.6/site-packages/django/core/serializers/json.py                                                 75     36    52%
env/lib/python3.6/site-packages/django/core/serializers/python.py                                               98     67    32%
env/lib/python3.6/site-packages/django/core/serializers/pyyaml.py                                               41     37    10%
env/lib/python3.6/site-packages/django/core/serializers/xml_serializer.py                                      239    193    19%
env/lib/python3.6/site-packages/django/core/servers/__init__.py                                                  0      0   100%
env/lib/python3.6/site-packages/django/core/servers/basehttp.py                                                114     81    29%
env/lib/python3.6/site-packages/django/core/signals.py                                                           5      0   100%
env/lib/python3.6/site-packages/django/core/signing.py                                                          88     54    39%
env/lib/python3.6/site-packages/django/core/validators.py                                                      277    145    48%
env/lib/python3.6/site-packages/django/core/wsgi.py                                                              5      2    60%
env/lib/python3.6/site-packages/django/db/__init__.py                                                           24      7    71%
env/lib/python3.6/site-packages/django/db/backends/__init__.py                                                   0      0   100%
env/lib/python3.6/site-packages/django/db/backends/base/__init__.py                                              0      0   100%
env/lib/python3.6/site-packages/django/db/backends/base/base.py                                                315    125    60%
env/lib/python3.6/site-packages/django/db/backends/base/client.py                                                6      1    83%
env/lib/python3.6/site-packages/django/db/backends/base/creation.py                                            122     35    71%
env/lib/python3.6/site-packages/django/db/backends/base/features.py                                            118     11    91%
env/lib/python3.6/site-packages/django/db/backends/base/introspection.py                                        71     33    54%
env/lib/python3.6/site-packages/django/db/backends/base/operations.py                                          253    135    47%
env/lib/python3.6/site-packages/django/db/backends/base/schema.py                                              550    224    59%
env/lib/python3.6/site-packages/django/db/backends/base/validation.py                                           14      6    57%
env/lib/python3.6/site-packages/django/db/backends/ddl_references.py                                           103     37    64%
env/lib/python3.6/site-packages/django/db/backends/signals.py                                                    2      0   100%
env/lib/python3.6/site-packages/django/db/backends/utils.py                                                    141     75    47%
env/lib/python3.6/site-packages/django/db/migrations/__init__.py                                                 2      0   100%
env/lib/python3.6/site-packages/django/db/migrations/autodetector.py                                           634    578     9%
